,0,1,2
858,n04435653,tile_roof,building
859,n04442312,toaster,electronics
860,n04443257,tobacco_shop,building
861,n04447861,toilet_seat,furniture
862,n04456115,torch,tool
863,n04458633,totem_pole,outdoor scene
864,n04461696,tow_truck,vehicle
865,n04462240,toyshop,building
866,n04465501,tractor,vehicle
867,n04467665,trailer_truck,vehicle
868,n04476259,tray,decor
869,n04479046,trench_coat,clothing
870,n04482393,tricycle,vehicle
871,n04483307,trimaran,boat
872,n04485082,tripod,technology
873,n04486054,triumphal_arch,outdoor scene
874,n04487081,trolleybus,vehicle
875,n04487394,trombone,instrument
876,n04493381,tub,furniture
877,n04501370,turnstile,technology
878,n04505470,typewriter_keyboard,electronics
879,n04507155,umbrella,accessory
880,n04509417,unicycle,vehicle
881,n04515003,upright,instrument
882,n04517823,vacuum,electronics
883,n04522168,vase,decor
884,n04523525,vault,container
885,n04525038,velvet,other
886,n04525305,vending_machine,technology
887,n04532106,vestment,clothing
888,n04532670,viaduct,outdoor scene
889,n04536866,violin,instrument
890,n04540053,volleyball,ball
891,n04542943,waffle_iron,electronics
892,n04548280,wall_clock,technology
893,n04548362,wallet,accessory
894,n04550184,wardrobe,furniture
895,n04552348,warplane,aircraft
896,n04553703,washbasin,container
897,n04554684,washer,electronics
898,n04557648,water_bottle,container
899,n04560804,water_jug,container
900,n04562935,water_tower,outdoor scene
901,n04579145,whiskey_jug,container
902,n04579432,whistle,tool
903,n04584207,wig,clothing
904,n04589890,window_screen,decor
905,n04590129,window_shade,decor
906,n04591157,Windsor_tie,accessory
907,n04591713,wine_bottle,food
908,n04592741,wing,other
909,n04596742,wok,cooking
910,n04597913,wooden_spoon,cooking
911,n04599235,wool,other
912,n04604644,worm_fence,fence
913,n04606251,wreck,boat
914,n04612504,yawl,boat
915,n04613696,yurt,building
916,n06359193,web_site,technology
917,n06596364,comic_book,paper
918,n06785654,crossword_puzzle,paper
919,n06794110,street_sign,outdoor scene
920,n06874185,traffic_light,electronics
921,n07248320,book_jacket,paper
922,n07565083,menu,paper
923,n07579787,plate,cooking
924,n07583066,guacamole,food
925,n07584110,consomme,food
926,n07590611,hot_pot,cooking
927,n07613480,trifle,food
928,n07614500,ice_cream,food
929,n07615774,ice_lolly,food
930,n07684084,French_loaf,food
931,n07693725,bagel,food
932,n07695742,pretzel,food
933,n07697313,cheeseburger,food
934,n07697537,hotdog,food
935,n07711569,mashed_potato,food
936,n07714571,head_cabbage,vegetable
937,n07714990,broccoli,vegetable
938,n07715103,cauliflower,vegetable
939,n07716358,zucchini,fruit
940,n07716906,spaghetti_squash,fruit
941,n07717410,acorn_squash,fruit
942,n07717556,butternut_squash,vegetable
943,n07718472,cucumber,vegetable
944,n07718747,artichoke,vegetable
945,n07720875,bell_pepper,vegetable
946,n07730033,cardoon,flower
947,n07734744,mushroom,fungus
948,n07742313,Granny_Smith,fruit
949,n07745940,strawberry,fruit
950,n07747607,orange,fruit
951,n07749582,lemon,fruit
952,n07753113,fig,fruit
953,n07753275,pineapple,fruit
954,n07753592,banana,fruit
955,n07754684,jackfruit,fruit
956,n07760859,custard_apple,fruit
957,n07768694,pomegranate,fruit
958,n07802026,hay,other
959,n07831146,carbonara,food
960,n07836838,chocolate_sauce,food
961,n07860988,dough,food
962,n07871810,meat_loaf,food
963,n07873807,pizza,food
964,n07875152,potpie,food
965,n07880968,burrito,food
966,n07892512,red_wine,food
967,n07920052,espresso,food
968,n07930864,cup,cooking
969,n07932039,eggnog,food
970,n09193705,alp,outdoor scene
971,n09229709,bubble,other
972,n09246464,cliff,outdoor scene
973,n09256479,coral_reef,coral
974,n09288635,geyser,outdoor scene
975,n09332890,lakeside,outdoor scene
976,n09399592,promontory,outdoor scene
977,n09421951,sandbar,outdoor scene
978,n09428293,seashore,outdoor scene
979,n09468604,valley,outdoor scene
980,n09472597,volcano,outdoor scene
981,n09835506,ballplayer,person
982,n10148035,groom,person
983,n10565667,scuba_diver,person
984,n11879895,rapeseed,flower
985,n11939491,daisy,flower
986,n12057211,yellow_lady's_slipper,flower
987,n12144580,corn,food
988,n12267677,acorn,plant
989,n12620546,hip,flower
990,n12768682,buckeye,plant
991,n12985857,coral_fungus,coral
992,n12998815,agaric,fungus
993,n13037406,gyromitra,fungus
994,n13040303,stinkhorn,fungus
995,n13044778,earthstar,fungus
996,n13052670,hen-of-the-woods,fungus
997,n13054560,bolete,fungus
998,n13133613,ear,food
999,n15075141,toilet_tissue,other
